<NOISE> 1.0	NSN
tshenn-kin 1.0	tsh e nn_T1 k i nn1
tshenn-kiunn 1.0	tsh e nn_T1 k i u nn_T1
tshenn-kng 1.0	tsh e nn_T1 k ngs_T1
tshenn-kong-gán 1.0	tsh e nn_T1 k er ng1 g_T a nn2
tshenn-kâu 1.0	tsh e nn_T1 k a u5
tshenn-kìn-kìn 1.0	tsh e nn_T1 k i nn3 k i nn3
tshenn-kî 1.0	tsh e nn_T1 k i5
tshenn-kîu 1.0	tsh e nn_T1 k i u5
tshenn-kó 1.0	tsh e nn_T1 k er2
tshenn-kông 1.0	tsh e nn_T1 k er ng5
tshenn-kông-hong 1.0	tsh e nn_T1 k er ng5 h er ng1
tshenn-kông-hōo 1.0	tsh e nn_T1 k er ng5 h o7
tshenn-kông-káu 1.0	tsh e nn_T1 k er ng5 k a u2
tshenn-kông-la̍t 1.0	tsh e nn_T1 k er ng5 l a t_T8
tshenn-kông-tsáu 1.0	tsh e nn_T1 k er ng5 ts a u2
tshenn-ling-ling 1.0	tsh e nn_T1 l i ng1 l i ng1
tshenn-li̍k 1.0	tsh e nn_T1 l i k_T8
tshenn-li̍k-li̍k 1.0	tsh e nn_T1 l i k_T8 l i k_T8
tshenn-lâng 1.0	tsh e nn_T1 l a ng5
tshenn-líng 1.0	tsh e nn_T1 l i ng2
tshenn-lîng-bo̍k 1.0	tsh e nn_T1 l i ng5 b_T er k_T8
tshenn-mê 1.0	tsh e nn_T1 m e5
tshenn-mê-gû 1.0	tsh e nn_T1 m e5 g_T u5
tshenn-mê-lâng 1.0	tsh e nn_T1 m e5 l a ng5
tshenn-mê-ê 1.0	tsh e nn_T1 m e5 e5
tshenn-mî 1.0	tsh e nn_T1 m i5
tshenn-n̂g 1.0	tsh e nn_T1 ngs_T5
tshenn-pe̍h 1.0	tsh e nn_T1 p e h_T8
tshenn-phiàng-phiàng 1.0	tsh e nn_T1 ph i a ng3 ph i a ng3
tshenn-poo 1.0	tsh e nn_T1 p o1
tshenn-pōng-pe̍h-pōng 1.0	tsh e nn_T1 p er ng7 p e h_T8 p er ng7
tshenn-sik 1.0	tsh e nn_T1 s i k_T4
tshenn-sim 1.0	tsh e nn_T1 s i m_T1
tshenn-soo 1.0	tsh e nn_T1 s o1
tshenn-sìu 1.0	tsh e nn_T1 s i u3
tshenn-sîn 1.0	tsh e nn_T1 s i nn5
tshenn-sún-sún 1.0	tsh e nn_T1 s u nn2 s u nn2
tshenn-thî 1.0	tsh e nn_T1 th i5
tshenn-thî-á 1.0	tsh e nn_T1 th i5 a2
tshenn-tik-si 1.0	tsh e nn_T1 t i k_T4 s i1
tshenn-ting 1.0	tsh e nn_T1 t i ng1
tshenn-tinn 1.0	tsh e nn_T1 t i nn_T1
tshenn-tshau 1.0	tsh e nn_T1 tsh a u1
tshenn-tshenn 1.0	tsh e nn_T1 tsh e nn_T1
tshenn-tshenn-kông-kông 1.0	tsh e nn_T1 tsh e nn_T1 k er ng5 k er ng5
tshenn-tshioh-sí 1.0	tsh e nn_T1 tsh i er h_T4 s i2
tshenn-tshuah 1.0	tsh e nn_T1 tsh u a h_T4
tshenn-tshuì 1.0	tsh e nn_T1 tsh u i3
tshenn-tshuì-tshuì 1.0	tsh e nn_T1 tsh u i3 tsh u i3
tshenn-tshài 1.0	tsh e nn_T1 tsh a i3
tshenn-tshám 1.0	tsh e nn_T1 tsh a m_T2
tshenn-tsháu 1.0	tsh e nn_T1 tsh a u2
tshenn-tsháu-io̍h 1.0	tsh e nn_T1 tsh a u2 i er h_T8
tshenn-tshè 1.0	tsh e nn_T1 tsh e3
tshenn-tshìn 1.0	tsh e nn_T1 tsh i nn3
tshenn-tshíu 1.0	tsh e nn_T1 tsh i u2
tshenn-tsia̍h 1.0	tsh e nn_T1 ts i a h_T8
tshenn-tsin 1.0	tsh e nn_T1 ts i nn1
tshenn-tsio 1.0	tsh e nn_T1 ts i er1
tshenn-tsio̍h-hue 1.0	tsh e nn_T1 ts i er h_T8 h u e1
tshenn-tso̍h 1.0	tsh e nn_T1 ts er h_T8
tshenn-tsuí 1.0	tsh e nn_T1 ts u i2
tshenn-tsō 1.0	tsh e nn_T1 ts er7
tshenn-tâng 1.0	tsh e nn_T1 t a ng5
tshenn-tê 1.0	tsh e nn_T1 t e5
tshenn-tî 1.0	tsh e nn_T1 t i5
tshenn-á 1.0	tsh e nn_T1 a2
tshenn-á-tsâng 1.0	tsh e nn_T1 a2 ts a ng5
tshenn-áu 1.0	tsh e nn_T1 a u2
tshenn-âng-ting 1.0	tsh e nn_T1 a ng5 t i ng1
tshenn-ê 1.0	tsh e nn_T1 e5
tshenn-ḿ 1.0	tsh e nn_T1 ms_T2
tshe̍h 1.0	tsh e h_T8
tshe̍k 1.0	tsh e k_T8
tshe̍nnh 1.0	tsh e nn_T h_T8
tshi 1.0	tsh i0
tshi-bê 1.0	tsh i1 b_T e5
tshi-gâi 1.0	tsh i1 g_T a i5
tshi-hiau 1.0	tsh i1 h i a u1
tshi-hàn 1.0	tsh i1 h a nn3
tshi-ko 1.0	tsh i1 k er1
tshi-liâng 1.0	tsh i1 l i a ng5
tshi-thâu-pô 1.0	tsh i1 th a u5 p er5
tshi-tshi 1.0	tsh i1 tsh i1
tshi-tshi-tshia̍t-tshia̍t 1.0	tsh i1 tsh i1 tsh i a t_T8 tsh i a t_T8
tshi-tshi-tshngh-tshngh 1.0	tsh i1 tsh i1 tsh ngs_T h_T4 tsh ngs_T h_T4
tshi-tshi-tshū-tshū 1.0	tsh i1 tsh i1 tsh u7 tsh u7
tshi-tshu 1.0	tsh i1 tsh u1
tshi-tshám 1.0	tsh i1 tsh a m_T2
tshi-tshám-khàu 1.0	tsh i1 tsh a m_T2 kh a u3
tshi-tshám-lo̍k-phik 1.0	tsh i1 tsh a m_T2 l er k_T8 ph i k_T4
tshi-tshū 1.0	tsh i1 tsh u7
tshi-tsîng 1.0	tsh i1 ts i ng5
tshia 1.0	tsh i a1
tshia-bé 1.0	tsh i a1 b_T e2
tshia-bé-huì 1.0	tsh i a1 b_T e2 h u i3
tshia-bó 1.0	tsh i a1 b_T er2
tshia-bô 1.0	tsh i a1 b_T er5
tshia-bú 1.0	tsh i a1 b_T u2
tshia-bōng 1.0	tsh i a1 b_T er ng7
tshia-giâ 1.0	tsh i a1 g_T i a5
tshia-hu 1.0	tsh i a1 h u1
tshia-hua 1.0	tsh i a1 h u a1
tshia-huâ 1.0	tsh i a1 h u a5
tshia-huì 1.0	tsh i a1 h u i3
tshia-hâng 1.0	tsh i a1 h a ng5
tshia-hè 1.0	tsh i a1 h e3
tshia-hóng 1.0	tsh i a1 h er ng2
tshia-hûn 1.0	tsh i a1 h u nn5
tshia-hō 1.0	tsh i a1 h er7
tshia-ia̍p 1.0	tsh i a1 i a p_T8
tshia-ia̍p-á 1.0	tsh i a1 i a p_T8 a2
tshia-iānn 1.0	tsh i a1 i a nn_T7
tshia-khak 1.0	tsh i a1 kh a k_T4
tshia-khuán 1.0	tsh i a1 kh u a nn2
tshia-khì 1.0	tsh i a1 kh i3
tshia-khí 1.0	tsh i a1 kh i2
tshia-khòo 1.0	tsh i a1 kh o3
tshia-ku-lāng-àng 1.0	tsh i a1 k u1 l a ng7 a ng3
tshia-kuainn 1.0	tsh i a1 k u a i nn_T1
tshia-kui 1.0	tsh i a1 k u i1
tshia-kuà 1.0	tsh i a1 k u a3
tshia-kuàn 1.0	tsh i a1 k u a nn3
tshia-kuáinn 1.0	tsh i a1 k u a i nn_T2
tshia-kè 1.0	tsh i a1 k e3
tshia-kìnn 1.0	tsh i a1 k i nn_T3
tshia-kóo-hì 1.0	tsh i a1 k o2 h i3
tshia-kóo-lāng 1.0	tsh i a1 k o2 l a ng7
tshia-kû 1.0	tsh i a1 k u5
tshia-lak 1.0	tsh i a1 l a k_T4
tshia-liàn-táu 1.0	tsh i a1 l i a nn3 t a u2
tshia-lián 1.0	tsh i a1 l i a nn2
tshia-lián-táu 1.0	tsh i a1 l i a nn2 t a u2
tshia-lián-á 1.0	tsh i a1 l i a nn2 a2
tshia-lióng 1.0	tsh i a1 l i er ng2
tshia-lo̍h 1.0	tsh i a1 l er h_T8
tshia-lìn-táu 1.0	tsh i a1 l i nn3 t a u2
tshia-lîng 1.0	tsh i a1 l i ng5
tshia-lûn 1.0	tsh i a1 l u nn5
tshia-lûn-tshài 1.0	tsh i a1 l u nn5 tsh a i3
tshia-lûn-tsiàn 1.0	tsh i a1 l u nn5 ts i a nn3
tshia-lōo 1.0	tsh i a1 l o7
tshia-lōo-kháu 1.0	tsh i a1 l o7 kh a u2
tshia-lōo-tiong 1.0	tsh i a1 l o7 t i er ng1
tshia-m̂ng 1.0	tsh i a1 ms_T ng5
tshia-pan 1.0	tsh i a1 p a nn1
tshia-pang 1.0	tsh i a1 p a ng1
tshia-pha-lin 1.0	tsh i a1 ph a1 l i nn1
tshia-phiò 1.0	tsh i a1 ph i er3
tshia-pinn 1.0	tsh i a1 p i nn_T1
tshia-piànn 1.0	tsh i a1 p i a nn_T3
tshia-piànn-khuì 1.0	tsh i a1 p i a nn_T3 kh u i3
tshia-pua̍h-píng 1.0	tsh i a1 p u a h_T8 p i ng2
tshia-puânn 1.0	tsh i a1 p u a nn_T5
tshia-pái 1.0	tsh i a1 p a i2
tshia-pâi 1.0	tsh i a1 p a i5
tshia-pâi-á 1.0	tsh i a1 p a i5 a2
tshia-píng 1.0	tsh i a1 p i ng2
tshia-pînn 1.0	tsh i a1 p i nn_T5
tshia-pùn-táu 1.0	tsh i a1 p u nn3 t a u2
tshia-sann 1.0	tsh i a1 s a nn_T1
tshia-sim 1.0	tsh i a1 s i m_T1
tshia-sin 1.0	tsh i a1 s i nn1
tshia-siong 1.0	tsh i a1 s i er ng1
tshia-siunn 1.0	tsh i a1 s i u nn_T1
tshia-sng 1.0	tsh i a1 s ngs_T1
tshia-sng-á 1.0	tsh i a1 s ngs_T1 a2
tshia-sok 1.0	tsh i a1 s er k_T4
tshia-sái-thâng 1.0	tsh i a1 s a i2 th a ng5
tshia-sìu 1.0	tsh i a1 s i u3
tshia-sòo 1.0	tsh i a1 s o3
tshia-ta̍h 1.0	tsh i a1 t a h_T8
tshia-thang 1.0	tsh i a1 th a ng1
tshia-thang-guā 1.0	tsh i a1 th a ng1 g_T u a7
tshia-thang-á-guā 1.0	tsh i a1 th a ng1 a2 g_T u a7
tshia-tháng-tò 1.0	tsh i a1 th a ng2 t er3
tshia-thâu 1.0	tsh i a1 th a u5
tshia-thé 1.0	tsh i a1 th e2
tshia-ting 1.0	tsh i a1 t i ng1
tshia-tiànn 1.0	tsh i a1 t i a nn_T3
tshia-tsa̍h 1.0	tsh i a1 ts a h_T8
tshia-tshia 1.0	tsh i a1 tsh i a1
tshia-tshia-kún 1.0	tsh i a1 tsh i a1 k u nn2
tshia-tshia-tńg 1.0	tsh i a1 tsh i a1 t ngs_T2
tshia-tshn̂g 1.0	tsh i a1 tsh ngs_T5
tshia-tshu 1.0	tsh i a1 tsh u1
tshia-tshâ 1.0	tsh i a1 tsh a5
tshia-tshí 1.0	tsh i a1 tsh i2
tshia-tshí-phín 1.0	tsh i a1 tsh i2 ph i nn2
tshia-tshíu 1.0	tsh i a1 tsh i u2
tshia-tshíunn 1.0	tsh i a1 tsh i u nn_T2
tshia-tshú 1.0	tsh i a1 tsh u2
tshia-tsiah 1.0	tsh i a1 ts i a h_T4
tshia-tsiáng 1.0	tsh i a1 ts i a ng2
tshia-tsióng 1.0	tsh i a1 ts i er ng2
tshia-tsu 1.0	tsh i a1 ts u1
tshia-tsuí 1.0	tsh i a1 ts u i2
tshia-tsuí-bé-lîng 1.0	tsh i a1 ts u i2 b_T e2 l i ng5
tshia-tsuā 1.0	tsh i a1 ts u a7
tshia-tsînn 1.0	tsh i a1 ts i nn_T5
tshia-tsú 1.0	tsh i a1 ts u2
tshia-tsām 1.0	tsh i a1 ts a m_T7
tshia-tsē 1.0	tsh i a1 ts e7
tshia-tuann 1.0	tsh i a1 t u a nn_T1
tshia-tué 1.0	tsh i a1 t u e2
tshia-tuī 1.0	tsh i a1 t u i7
tshia-táu 1.0	tsh i a1 t a u2
tshia-tâi 1.0	tsh i a1 t a i5
tshia-té 1.0	tsh i a1 t e2
tshia-tíng 1.0	tsh i a1 t i ng2
tshia-tíng-bīn 1.0	tsh i a1 t i ng2 b_T i nn7
tshia-tíunn 1.0	tsh i a1 t i u nn_T2
tshia-tòng 1.0	tsh i a1 t er ng3
tshia-tó 1.0	tsh i a1 t er2
tshia-tō 1.0	tsh i a1 t er7
tshia-uī 1.0	tsh i a1 u i7
tshia-á 1.0	tsh i a1 a2
tshia-á-suànn 1.0	tsh i a1 a2 s u a nn_T3
tshia-āu-táu 1.0	tsh i a1 a u7 t a u2
tshia-ē 1.0	tsh i a1 e7
tshiah 1.0	tsh i a h_T4
tshiah-bah 1.0	tsh i a h_T4 b_T a h_T4
tshiah-ba̍k 1.0	tsh i a h_T4 b_T a k_T8
tshiah-be̍h 1.0	tsh i a h_T4 b_T e h_T8
tshiah-bé 1.0	tsh i a h_T4 b_T e2
tshiah-bé-tai 1.0	tsh i a h_T4 b_T e2 t a i1
tshiah-bé-á 1.0	tsh i a h_T4 b_T e2 a2
tshiah-gi̍k 1.0	tsh i a h_T4 g_T i k_T8
tshiah-gû 1.0	tsh i a h_T4 g_T u5
tshiah-hiat-kîu 1.0	tsh i a h_T4 h i a t_T4 k i u5
tshiah-hue 1.0	tsh i a h_T4 h u e1
tshiah-huih 1.0	tsh i a h_T4 h u i h_T4
tshiah-huih-to 1.0	tsh i a h_T4 h u i h_T4 t er1
tshiah-huih-á 1.0	tsh i a h_T4 h u i h_T4 a2
tshiah-hō 1.0	tsh i a h_T4 h er7
tshiah-ia̍h 1.0	tsh i a h_T4 i a h_T8
tshiah-iông 1.0	tsh i a h_T4 i er ng5
tshiah-iānn-iānn 1.0	tsh i a h_T4 i a nn_T7 i a nn_T7
tshiah-jîn-thôo 1.0	tsh i a h_T4 j_T i nn5 th o5
tshiah-jī 1.0	tsh i a h_T4 j_T i7
tshiah-kap-á 1.0	tsh i a h_T4 k a p_T4 a2
tshiah-keh-á 1.0	tsh i a h_T4 k e h_T4 a2
tshiah-kha 1.0	tsh i a h_T4 kh a1
tshiah-kha-sian 1.0	tsh i a h_T4 kh a1 s i a nn1
tshiah-kha-sian-á 1.0	tsh i a h_T4 kh a1 s i a nn1 a2
tshiah-khang 1.0	tsh i a h_T4 kh a ng1
tshiah-khia̍t-khia̍t 1.0	tsh i a h_T4 kh i a t_T8 kh i a t_T8
tshiah-kho 1.0	tsh i a h_T4 kh er1
tshiah-khok-khok 1.0	tsh i a h_T4 kh er k_T4 kh er k_T4
tshiah-khàm 1.0	tsh i a h_T4 kh a m_T3
tshiah-khàm-lâu 1.0	tsh i a h_T4 kh a m_T3 l a u5
tshiah-kháu-ji̍t 1.0	tsh i a h_T4 kh a u2 j_T i t_T8
tshiah-ki 1.0	tsh i a h_T4 k i1
tshiah-kim 1.0	tsh i a h_T4 k i m_T1
tshiah-kiunn 1.0	tsh i a h_T4 k i u nn_T1
tshiah-kun-tshài 1.0	tsh i a h_T4 k u nn1 tsh a i3
tshiah-kuí 1.0	tsh i a h_T4 k u i2
tshiah-kuí-kuí 1.0	tsh i a h_T4 k u i2 k u i2
tshiah-kàu 1.0	tsh i a h_T4 k a u3
tshiah-káu 1.0	tsh i a h_T4 k a u2
tshiah-kín 1.0	tsh i a h_T4 k i nn2
tshiah-la̍h-la̍h 1.0	tsh i a h_T4 l a h_T8 l a h_T8
tshiah-lân 1.0	tsh i a h_T4 l a nn5
tshiah-lâng 1.0	tsh i a h_T4 l a ng5
tshiah-lâng-ba̍k 1.0	tsh i a h_T4 l a ng5 b_T a k_T8
tshiah-lîng 1.0	tsh i a h_T4 l i ng5
tshiah-lī 1.0	tsh i a h_T4 l i7
tshiah-lōo 1.0	tsh i a h_T4 l o7
tshiah-pan-tshng 1.0	tsh i a h_T4 p a nn1 tsh ngs_T1
tshiah-peh-peh 1.0	tsh i a h_T4 p e h_T4 p e h_T4
tshiah-phê 1.0	tsh i a h_T4 ph e5
tshiah-phê-tōo-á 1.0	tsh i a h_T4 ph e5 t o7 a2
tshiah-phòng-se 1.0	tsh i a h_T4 ph er ng3 s e1
tshiah-pit-á 1.0	tsh i a h_T4 p i t_T4 a2
tshiah-pê-pê 1.0	tsh i a h_T4 p e5 p e5
tshiah-pîn 1.0	tsh i a h_T4 p i nn5
tshiah-sik 1.0	tsh i a h_T4 s i k_T4
tshiah-sim 1.0	tsh i a h_T4 s i m_T1
tshiah-sin 1.0	tsh i a h_T4 s i nn1
tshiah-sin-lōo-thé 1.0	tsh i a h_T4 s i nn1 l o7 th e2
tshiah-sió-tāu 1.0	tsh i a h_T4 s i er2 t a u7
tshiah-sng 1.0	tsh i a h_T4 s ngs_T1
tshiah-sua 1.0	tsh i a h_T4 s u a1
tshiah-sua-thn̂g 1.0	tsh i a h_T4 s u a1 th ngs_T5
tshiah-sìu 1.0	tsh i a h_T4 s i u3
tshiah-tan 1.0	tsh i a h_T4 t a nn1
tshiah-theh 1.0	tsh i a h_T4 th e h_T4
tshiah-thn̂g 1.0	tsh i a h_T4 th ngs_T5
tshiah-thé 1.0	tsh i a h_T4 th e2
tshiah-thòo 1.0	tsh i a h_T4 th o3
tshiah-thôo 1.0	tsh i a h_T4 th o5
tshiah-tiâu-tiâu 1.0	tsh i a h_T4 t i a u5 t i a u5
tshiah-tsa-bóo 1.0	tsh i a h_T4 ts a1 b_T o2
tshiah-tsang 1.0	tsh i a h_T4 ts a ng1
tshiah-tshiah 1.0	tsh i a h_T4 tsh i a h_T4
tshiah-tshng 1.0	tsh i a h_T4 tsh ngs_T1
tshiah-tshu 1.0	tsh i a h_T4 tsh u1
tshiah-tshuì 1.0	tsh i a h_T4 tsh u i3
tshiah-tshíu 1.0	tsh i a h_T4 tsh i u2
tshiah-tshîng 1.0	tsh i a h_T4 tsh i ng5
tshiah-tshú 1.0	tsh i a h_T4 tsh u2
tshiah-tsín 1.0	tsh i a h_T4 ts i nn2
tshiah-tài 1.0	tsh i a h_T4 t a i3
tshiah-tō 1.0	tsh i a h_T4 t er7
tshiah-á-hàn 1.0	tsh i a h_T4 a2 h a nn3
tshiah-ê 1.0	tsh i a h_T4 e5
tshiak 1.0	tsh i a k_T4
tshiam 1.0	tsh i a m_T1
tshiam-ah 1.0	tsh i a m_T1 a h_T4
tshiam-iok 1.0	tsh i a m_T1 i er k_T4
tshiam-jī 1.0	tsh i a m_T1 j_T i7
tshiam-kú 1.0	tsh i a m_T1 k u2
tshiam-miâ 1.0	tsh i a m_T1 m i a5
tshiam-miâ-bē 1.0	tsh i a m_T1 m i a5 b_T e7
tshiam-si 1.0	tsh i a m_T1 s i1
tshiam-síu 1.0	tsh i a m_T1 s i u2
tshiam-sú 1.0	tsh i a m_T1 s u2
tshiam-sū 1.0	tsh i a m_T1 s u7
tshiam-tann 1.0	tsh i a m_T1 t a nn_T1
tshiam-tiâu 1.0	tsh i a m_T1 t i a u5
tshiam-tsìng 1.0	tsh i a m_T1 ts i ng3
tshiam-tâng 1.0	tsh i a m_T1 t a ng5
tshiam-tìng 1.0	tsh i a m_T1 t i ng3
tshiam-tò 1.0	tsh i a m_T1 t er3
tshiam-tīng 1.0	tsh i a m_T1 t i ng7
tshiam-uî 1.0	tsh i a m_T1 u i5
tshiam-á 1.0	tsh i a m_T1 a2
tshiam-ìn 1.0	tsh i a m_T1 i nn3
tshiam-î-sòo 1.0	tsh i a m_T1 i5 s o3
tshiam-ông 1.0	tsh i a m_T1 er ng5
tshian 1.0	tsh i a nn1
tshian-bān 1.0	tsh i a nn1 b_T a nn7
tshian-bān-m̄-thang 1.0	tsh i a nn1 b_T a nn7 ms_T7 th a ng1
tshian-giân-bān-gí 1.0	tsh i a nn1 g_T i a nn5 b_T a nn7 g_T i2
tshian-hong-pik-kè 1.0	tsh i a nn1 h er ng1 p i k_T4 k e3
tshian-iân 1.0	tsh i a nn1 i a nn5
tshian-ji̍p 1.0	tsh i a nn1 j_T i p_T8
tshian-ji̍t-hông 1.0	tsh i a nn1 j_T i t_T8 h er ng5
tshian-jîn-kiōng-kiàn 1.0	tsh i a nn1 j_T i nn5 k i er ng7 k i a nn3
tshian-jī-bûn 1.0	tsh i a nn1 j_T i7 b_T u nn5
tshian-ka-hè 1.0	tsh i a nn1 k a1 h e3
tshian-ki 1.0	tsh i a nn1 k i1
tshian-kim 1.0	tsh i a nn1 k i m_T1
tshian-kim-phóo 1.0	tsh i a nn1 k i m_T1 ph o2
tshian-kim-sió-tsiá 1.0	tsh i a nn1 k i m_T1 s i er2 ts i a2
tshian-kin-pua̍t 1.0	tsh i a nn1 k i nn1 p u a t_T8
tshian-kin-tshìn 1.0	tsh i a nn1 k i nn1 tsh i nn3
tshian-ku 1.0	tsh i a nn1 k u1
tshian-kuan 1.0	tsh i a nn1 k u a nn1
tshian-kun-bān-bé 1.0	tsh i a nn1 k u nn1 b_T a nn7 b_T e2
tshian-kun-la̍t 1.0	tsh i a nn1 k u nn1 l a t_T8
tshian-kun-tshìn 1.0	tsh i a nn1 k u nn1 tsh i nn3
tshian-kóo 1.0	tsh i a nn1 k o2
tshian-lí 1.0	tsh i a nn1 l i2
tshian-lí-bé 1.0	tsh i a nn1 l i2 b_T e2
tshian-lí-gán 1.0	tsh i a nn1 l i2 g_T a nn2
tshian-lí-khu 1.0	tsh i a nn1 l i2 kh u1
tshian-lí-kip 1.0	tsh i a nn1 l i2 k i p_T4
tshian-lí-kiànn 1.0	tsh i a nn1 l i2 k i a nn_T3
tshian-lí-kong 1.0	tsh i a nn1 l i2 k er ng1
tshian-lí-má 1.0	tsh i a nn1 l i2 m a2
tshian-lí-piu 1.0	tsh i a nn1 l i2 p i u1
tshian-lān-bān-khóo 1.0	tsh i a nn1 l a nn7 b_T a nn7 kh o2
tshian-phian-it-lu̍t 1.0	tsh i a nn1 ph i a nn1 i t_T4 l u t_T8
tshian-phoo 1.0	tsh i a nn1 ph o1
tshian-piàn-bān-huà 1.0	tsh i a nn1 p i a nn3 b_T a nn7 h u a3
tshian-put-hīng 1.0	tsh i a nn1 p u t_T4 h i ng7
tshian-san-bān-suí 1.0	tsh i a nn1 s a nn1 b_T a nn7 s u i2
tshian-sin-bān-khóo 1.0	tsh i a nn1 s i nn1 b_T a nn7 kh o2
tshian-su-bān-sióng 1.0	tsh i a nn1 s u1 b_T a nn7 s i er ng2
tshian-suá 1.0	tsh i a nn1 s u a2
tshian-sǹg-bān-sǹg 1.0	tsh i a nn1 s ngs_T3 b_T a nn7 s ngs_T3
tshian-thóng 1.0	tsh i a nn1 th er ng2
tshian-tiàu 1.0	tsh i a nn1 t i a u3
tshian-to-bān-kuah 1.0	tsh i a nn1 t er1 b_T a nn7 k u a h_T4
tshian-too 1.0	tsh i a nn1 t o1
tshian-tshian 1.0	tsh i a nn1 tsh i a nn1
tshian-tshian-bān-bān 1.0	tsh i a nn1 tsh i a nn1 b_T a nn7 b_T a nn7
tshian-tshiu 1.0	tsh i a nn1 tsh i u1
tshian-tshut 1.0	tsh i a nn1 tsh u t_T4
tshian-tshuì-lân-hun 1.0	tsh i a nn1 tsh u i3 l a nn5 h u nn1
tshian-tshîu-bān-khóo 1.0	tsh i a nn1 tsh i u5 b_T a nn7 kh o2
tshian-tsin-bān-khak 1.0	tsh i a nn1 ts i nn1 b_T a nn7 kh a k_T4
tshian-tsáinn 1.0	tsh i a nn1 ts a i nn_T2
tshian-tsáu 1.0	tsh i a nn1 ts a u2
tshian-tsân-pak 1.0	tsh i a nn1 ts a nn5 p a k_T4
tshian-tsòng 1.0	tsh i a nn1 ts er ng3
tshian-tsóng 1.0	tsh i a nn1 ts er ng2
tshian-tsīu 1.0	tsh i a nn1 ts i u7
tshian-tú-tshian 1.0	tsh i a nn1 t u2 tsh i a nn1
tshian-î 1.0	tsh i a nn1 i5
tshian-óng 1.0	tsh i a nn1 er ng2
tshiang 1.0	tsh i a ng1
tshiann 1.0	tsh i a nn_T1
tshiann-iānn 1.0	tsh i a nn_T1 i a nn_T7
tshiap 1.0	tsh i a p_T4
tshiap-hiâm 1.0	tsh i a p_T4 h i a m_T5
tshiap-thiann 1.0	tsh i a p_T4 th i a nn_T1
tshiap-thiann-khì 1.0	tsh i a p_T4 th i a nn_T1 kh i3
tshiap-tō 1.0	tsh i a p_T4 t er7
tshiap-àn 1.0	tsh i a p_T4 a nn3
tshiat 1.0	tsh i a t_T4
tshiat-bah 1.0	tsh i a t_T4 b_T a h_T4
tshiat-bāng 1.0	tsh i a t_T4 b_T a ng7
tshiat-bōng 1.0	tsh i a t_T4 b_T er ng7
tshiat-huè 1.0	tsh i a t_T4 h u e3
tshiat-im 1.0	tsh i a t_T4 i m_T1
tshiat-iàu 1.0	tsh i a t_T4 i a u3
tshiat-khui 1.0	tsh i a t_T4 kh u i1
tshiat-khì 1.0	tsh i a t_T4 kh i3
tshiat-khí 1.0	tsh i a t_T4 kh i2
tshiat-khī 1.0	tsh i a t_T4 kh i7
tshiat-kiat-su 1.0	tsh i a t_T4 k i a t_T4 s u1
tshiat-kuah 1.0	tsh i a t_T4 k u a h_T4
tshiat-kì 1.0	tsh i a t_T4 k i3
tshiat-phìnn 1.0	tsh i a t_T4 ph i nn_T3
tshiat-sin 1.0	tsh i a t_T4 s i nn1
tshiat-siong 1.0	tsh i a t_T4 s i er ng1
tshiat-si̍t 1.0	tsh i a t_T4 s i t_T8
tshiat-tit 1.0	tsh i a t_T4 t i t_T4
tshiat-tn̄g 1.0	tsh i a t_T4 t ngs_T7
tshiat-tshiat 1.0	tsh i a t_T4 tsh i a t_T4
tshiat-tshài 1.0	tsh i a t_T4 tsh a i3
tshiat-tshíu 1.0	tsh i a t_T4 tsh i u2
tshiat-tsò 1.0	tsh i a t_T4 ts er3
tshiat-tî 1.0	tsh i a t_T4 t i5
tshiat-tû 1.0	tsh i a t_T4 t u5
tshiat-tō-tsuē 1.0	tsh i a t_T4 t er7 ts u e7
tshiat-uānn 1.0	tsh i a t_T4 u a nn_T7
tshiat-ì 1.0	tsh i a t_T4 i3
tshiau 1.0	tsh i a u1
tshiau-huân 1.0	tsh i a u1 h u a nn5
tshiau-im-pho 1.0	tsh i a u1 i m_T1 ph er1
tshiau-im-sok 1.0	tsh i a u1 i m_T1 s er k_T4
tshiau-jiân 1.0	tsh i a u1 j_T i a nn5
tshiau-jîn 1.0	tsh i a u1 j_T i nn5
tshiau-ke 1.0	tsh i a u1 k e1
tshiau-kip 1.0	tsh i a u1 k i p_T4
tshiau-kip-tshī-tîunn 1.0	tsh i a u1 k i p_T4 tsh i7 t i u nn_T5
tshiau-kiông 1.0	tsh i a u1 k i er ng5
tshiau-kuè 1.0	tsh i a u1 k u e3
tshiau-kànn 1.0	tsh i a u1 k a nn_T3
tshiau-kè 1.0	tsh i a u1 k e3
tshiau-kè-lâng 1.0	tsh i a u1 k e3 l a ng5
tshiau-kûn 1.0	tsh i a u1 k u nn5
tshiau-lâng-kê 1.0	tsh i a u1 l a ng5 k e5
tshiau-pua̍t 1.0	tsh i a u1 p u a t_T8
tshiau-sin-khu 1.0	tsh i a u1 s i nn1 kh u1
tshiau-sing 1.0	tsh i a u1 s i ng1
tshiau-siu 1.0	tsh i a u1 s i u1
tshiau-sok 1.0	tsh i a u1 s er k_T4
tshiau-tang-tshiau-sai 1.0	tsh i a u1 t a ng1 tsh i a u1 s a i1
tshiau-thuat 1.0	tsh i a u1 th u a t_T4
tshiau-thôo 1.0	tsh i a u1 th o5
tshiau-tshia 1.0	tsh i a u1 tsh i a1
tshiau-tshi̍k 1.0	tsh i a u1 tsh i k_T8
